Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,,,,Tesla,,,,NVIDIA,,,,Apple,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Adj Close ,,,Date,Adj Close ,,,Date,Adj Close ,,,Date,Adj Close ,,,,,,,,,,,,,,,,,,
1-May-26,414.44,,,1-May-26,390.82,,,1-May-26,198.45,,,1-May-26,280.14,,,,,,,,,,,,,,,,,,
1-Apr-26,407.78,,,1-Apr-26,381.63,,,1-Apr-26,199.57,,,1-Apr-26,271.35,,,,,,,,,,,,,,,,,,
1-Mar-26,370.17,,,1-Mar-26,371.75,,,1-Mar-26,174.39,,,1-Mar-26,253.79,,,,,,,,,,,,,,,,,,
1-Feb-26,391.85,,,1-Feb-26,402.51,,,1-Feb-26,177.18,,,1-Feb-26,263.93,,,,,,,,,,,,,,,,,,
1-Jan-26,429.31,,,1-Jan-26,430.41,,,1-Jan-26,191.12,,,1-Jan-26,259.24,,,,,,,,,,,,,,,,,,
1-Dec-25,482.52,,,1-Dec-25,449.72,,,1-Dec-25,186.48,,,1-Dec-25,271.61,,,,,,,,,,,,,,,,,,
1-Nov-25,489.97,,,1-Nov-25,430.17,,,1-Nov-25,176.98,,,1-Nov-25,278.32,,,,,,,,,,,,,,,,,,
1-Oct-25,515.67,,,1-Oct-25,456.56,,,1-Oct-25,202.47,,,1-Oct-25,269.86,,,,,,,,,,,,,,,,,,
1-Sep-25,515.81,,,1-Sep-25,444.72,,,1-Sep-25,186.55,,,1-Sep-25,254.15,,,,,,,,,,,,,,,,,,
1-Aug-25,503.76,,,1-Aug-25,333.87,,,1-Aug-25,174.15,,,1-Aug-25,231.44,,,,,,,,,,,,,,,,,,
1-Jul-25,530.42,,,1-Jul-25,308.27,,,1-Jul-25,177.84,,,1-Jul-25,206.94,,,,,,,,,,,,,,,,,,
1-Jun-25,494.54,,,1-Jun-25,317.66,,,1-Jun-25,157.95,,,1-Jun-25,204.55,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM,,,,GS,,,,Visa,,,,Bank of America,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Adj Close ,,,Date,Adj Close ,,,Date,Adj Close ,,,Date,Adj Close ,,,,,,,,,,,,,,,,,,
1-May-26,312.47,,,1-May-26,923.71,,,1-May-26,328.03,,,1-May-26,53.24,,,,,,,,,,,,,,,,,,
1-Apr-26,311.64,,,1-Apr-26,923.77,,,1-Apr-26,329.84,,,1-Apr-26,53.46,,,,,,,,,,,,,,,,,,
1-Mar-26,292.66,,,1-Mar-26,841.56,,,1-Mar-26,302.24,,,1-Mar-26,48.48,,,,,,,,,,,,,,,,,,
1-Feb-26,298.77,,,1-Feb-26,855.07,,,1-Feb-26,319.48,,,1-Feb-26,49.55,,,,,,,,,,,,,,,,,,
1-Jan-26,302.97,,,1-Jan-26,930.51,,,1-Jan-26,321.17,,,1-Jan-26,52.9,,,,,,,,,,,,,,,,,,
1-Dec-25,319.14,,,1-Dec-25,870.08,,,1-Dec-25,349.99,,,1-Dec-25,54.41,,,,,,,,,,,,,,,,,,
